,metric,year,value
771,carbon-dioxide,1959.789,313.33
772,carbon-dioxide,1959.874,314.81
773,carbon-dioxide,1959.9562,315.58
774,carbon-dioxide,1960.041,316.43
775,carbon-dioxide,1960.1257,316.98
776,carbon-dioxide,1960.2049,317.58
777,carbon-dioxide,1960.2896,319.03
778,carbon-dioxide,1960.3716,320.03
779,carbon-dioxide,1960.4563,319.58
780,carbon-dioxide,1960.5383,318.18
781,carbon-dioxide,1960.623,315.9
782,carbon-dioxide,1960.7077,314.17
783,carbon-dioxide,1960.7896,313.83
784,carbon-dioxide,1960.8743,315.0
785,carbon-dioxide,1960.9563,316.19
786,carbon-dioxide,1961.0411,316.89
787,carbon-dioxide,1961.126,317.7
788,carbon-dioxide,1961.2027,318.54
789,carbon-dioxide,1961.2877,319.48
790,carbon-dioxide,1961.3699,320.58
791,carbon-dioxide,1961.4548,319.77
792,carbon-dioxide,1961.537,318.56
793,carbon-dioxide,1961.6219,316.79
794,carbon-dioxide,1961.7068,314.99
795,carbon-dioxide,1961.789,315.31
796,carbon-dioxide,1961.874,316.1
797,carbon-dioxide,1961.9562,317.01
798,carbon-dioxide,1962.0411,317.94
799,carbon-dioxide,1962.126,318.55
800,carbon-dioxide,1962.2027,319.68
801,carbon-dioxide,1962.2877,320.57
802,carbon-dioxide,1962.3699,321.02
803,carbon-dioxide,1962.4548,320.62
804,carbon-dioxide,1962.537,319.61
805,carbon-dioxide,1962.6219,317.4
806,carbon-dioxide,1962.7068,316.24
807,carbon-dioxide,1962.789,315.42
808,carbon-dioxide,1962.874,316.69
809,carbon-dioxide,1962.9562,317.7
810,carbon-dioxide,1963.0411,318.74
811,carbon-dioxide,1963.126,319.07
812,carbon-dioxide,1963.2027,319.86
813,carbon-dioxide,1963.2877,321.38
814,carbon-dioxide,1963.3699,322.24
815,carbon-dioxide,1963.4548,321.49
816,carbon-dioxide,1963.537,319.74
817,carbon-dioxide,1963.6219,317.77
818,carbon-dioxide,1963.7068,316.21
819,carbon-dioxide,1963.789,315.99
820,carbon-dioxide,1963.874,317.07
821,carbon-dioxide,1963.9562,318.35
822,carbon-dioxide,1964.041,319.57
823,carbon-dioxide,1964.1257,320.04
824,carbon-dioxide,1964.2049,320.75
825,carbon-dioxide,1964.2896,321.84
826,carbon-dioxide,1964.3716,322.25
827,carbon-dioxide,1964.4563,321.89
828,carbon-dioxide,1964.5383,320.44
829,carbon-dioxide,1964.623,318.69
830,carbon-dioxide,1964.7077,316.71
831,carbon-dioxide,1964.7896,316.87
832,carbon-dioxide,1964.8743,317.68
833,carbon-dioxide,1964.9563,318.71
834,carbon-dioxide,1965.0411,319.44
835,carbon-dioxide,1965.126,320.44
836,carbon-dioxide,1965.2027,320.89
837,carbon-dioxide,1965.2877,322.14
838,carbon-dioxide,1965.3699,322.17
839,carbon-dioxide,1965.4548,321.87
840,carbon-dioxide,1965.537,321.21
841,carbon-dioxide,1965.6219,318.87
842,carbon-dioxide,1965.7068,317.82
843,carbon-dioxide,1965.789,317.3
844,carbon-dioxide,1965.874,318.87
845,carbon-dioxide,1965.9562,319.42
846,carbon-dioxide,1966.0411,320.62
847,carbon-dioxide,1966.126,321.6
848,carbon-dioxide,1966.2027,322.39
849,carbon-dioxide,1966.2877,323.7
850,carbon-dioxide,1966.3699,324.08
851,carbon-dioxide,1966.4548,323.75
852,carbon-dioxide,1966.537,322.37
853,carbon-dioxide,1966.6219,320.36
854,carbon-dioxide,1966.7068,318.64
855,carbon-dioxide,1966.789,318.1
856,carbon-dioxide,1966.874,319.78
857,carbon-dioxide,1966.9562,321.02
858,carbon-dioxide,1967.0411,322.33
859,carbon-dioxide,1967.126,322.5
860,carbon-dioxide,1967.2027,323.03
861,carbon-dioxide,1967.2877,324.41
862,carbon-dioxide,1967.3699,325.0
863,carbon-dioxide,1967.4548,324.09
864,carbon-dioxide,1967.537,322.54
865,carbon-dioxide,1967.6219,320.92
866,carbon-dioxide,1967.7068,319.25
867,carbon-dioxide,1967.789,319.39
868,carbon-dioxide,1967.874,320.73
869,carbon-dioxide,1967.9562,321.96
870,carbon-dioxide,1968.041,322.57
871,carbon-dioxide,1968.1257,323.15
872,carbon-dioxide,1968.2049,323.89
873,carbon-dioxide,1968.2896,325.02
874,carbon-dioxide,1968.3716,325.57
875,carbon-dioxide,1968.4563,325.36
876,carbon-dioxide,1968.5383,324.14
877,carbon-dioxide,1968.623,322.11
878,carbon-dioxide,1968.7077,320.33
